Time[Second] 1,Pulse (ID=1) [Arb],Manual Values,
8.55 ,998,,
8.56 ,1012,,
8.57 ,1018,,
8.58 ,1021,,
8.59 ,1021,,
8.6 ,1018,,
8.61 ,1013,,
8.62 ,991,,
8.63 ,949,,
8.64 ,895,,
8.65 ,830,,
8.66 ,763,,
8.67 ,693,,
8.68 ,623,,
8.69 ,570,,
8.7 ,505,,
8.71 ,442,,
8.72 ,383,,
8.73 ,327,,
8.74 ,279,,
8.75 ,239,,
8.76 ,208,,
8.77 ,187,,
8.78 ,182,,
8.79 ,179,,
8.8 ,185,,
8.81 ,196,,
8.82 ,213,,
8.83 ,232,,
8.84 ,253,,
8.85 ,271,,
8.86 ,286,,
8.87 ,297,,
8.88 ,301,,
8.89 ,299,,
8.9 ,292,,
8.91 ,284,,
8.92 ,273,,
8.93 ,258,,
8.94 ,240,,
8.95 ,225,,
8.96 ,206,,
8.97 ,186,,
8.98 ,169,,
8.99 ,155,,
9 ,143,,
9.01 ,133,,
9.02 ,124,,
9.03 ,119,,
9.04 ,113,,
9.05 ,107,,
9.06 ,103,,
9.07 ,99,,
9.08 ,97,,
9.09 ,95,,
9.1 ,94,,
9.11 ,93,,
9.12 ,94,,
9.13 ,93,,
9.14 ,95,,
9.15 ,98,,
9.16 ,103,,
9.17 ,108,,
9.18 ,113,,
9.19 ,117,,
9.2 ,121,,
9.21 ,121,,
9.22 ,119,,
9.23 ,116,,
9.24 ,113,,
9.25 ,110,,
9.26 ,107,,
9.27 ,105,,
9.28 ,108,,
9.29 ,116,,
9.3 ,136,,
9.31 ,179,,
9.32 ,252,,
9.33 ,357,,
9.34 ,485,,
9.35 ,623,,
9.36 ,761,,
9.37 ,866,,
9.38 ,959,,
9.39 ,997,,
9.4 ,1012,,
9.41 ,1018,,
9.42 ,1021,,
9.43 ,1022,,
9.44 ,1021,,
9.45 ,1016,,
9.46 ,1003,,
9.47 ,968,,
9.48 ,919,,
9.49 ,861,,
9.5 ,799,,
9.51 ,735,,
9.52 ,673,,
9.53 ,610,,
9.54 ,564,,
9.55 ,505,,
9.56 ,450,,
9.57 ,396,,
9.58 ,346,,
9.59 ,302,,
9.6 ,267,,
9.61 ,238,,
9.62 ,217,,
9.63 ,207,,
9.64 ,200,,
9.65 ,201,,
9.66 ,209,,
9.67 ,222,,
9.68 ,238,,
9.69 ,255,,
9.7 ,270,,
9.71 ,282,,
9.72 ,291,,
9.73 ,298,,
9.74 ,300,,
9.75 ,296,,
9.76 ,290,,
9.77 ,279,,
9.78 ,268,,
9.79 ,254,,
9.8 ,245,,
9.81 ,230,,
9.82 ,215,,
9.83 ,197,,
9.84 ,179,,
9.85 ,160,,
9.86 ,143,,
9.87 ,126,,
9.88 ,111,,
9.89 ,104,,
9.9 ,96,,
9.91 ,92,,
9.92 ,91,,
9.93 ,90,,
9.94 ,88,,
9.95 ,88,,
9.96 ,88,,
9.97 ,89,,
9.98 ,89,,
9.99 ,89,,
10 ,91,,
